,lens,group_id,count
0,1,0,40098
40098,32,1,14844
54942,64,2,10055
64997,96,3,9273
74270,128,4,9267
83537,160,5,7292
90829,192,6,6310
97139,224,7,5872
103011,256,8,5744
108755,288,9,5717
114472,320,10,5819
120291,352,11,5396
125687,384,12,4555
130242,416,13,4005
134247,448,14,4060
138307,480,15,3599
141906,512,16,3416
145322,544,17,3246
148568,576,18,3190
151758,608,19,2916
154674,640,20,2692
157366,672,21,2398
159764,704,22,2319
162083,736,23,2179
164262,768,24,1875
166137,800,25,1904
168041,832,26,2010
170051,864,27,1804
171855,896,28,1673
173528,928,29,1615
175143,960,30,1530
176673,992,31,1562
178235,1024,32,1456
179691,1056,33,1411
181102,1088,34,1275
182377,1120,35,1217
183594,1152,36,1134
184728,1184,37,1101
185829,1216,38,1115
186944,1248,39,1167
188111,1280,40,1197
189308,1312,41,1096
190404,1344,42,1115
191519,1376,43,1222
192741,1408,44,1458
194199,1440,45,1406
195605,1472,46,1470
197075,1504,47,1341
198416,1536,48,1275
199691,1568,49,1324
201015,1600,50,1509
202524,1632,51,1569
204093,1664,52,1551
205644,1696,53,1359
207003,1728,54,1802
208805,1760,55,4671
213476,1792,56,3313
