LogTime,read_ce_log_num_15m,scrub_ce_log_num_15m,all_ce_log_num_15m,read_ce_count_15m,scrub_ce_count_15m,all_ce_count_15m,log_happen_frequency_15m,ce_storm_count_15m,fault_mode_others_15m,fault_mode_device_15m,fault_mode_bank_15m,fault_mode_row_15m,fault_mode_column_15m,fault_mode_cell_15m,fault_row_num_15m,fault_column_num_15m,error_bit_count_15m,error_dq_count_15m,error_burst_count_15m,max_dq_interval_15m,max_burst_interval_15m,dq_count=1_15m,dq_count=2_15m,dq_count=3_15m,dq_count=4_15m,burst_count=1_15m,burst_count=2_15m,burst_count=3_15m,burst_count=4_15m,burst_count=5_15m,burst_count=6_15m,burst_count=7_15m,burst_count=8_15m,read_ce_log_num_1h,scrub_ce_log_num_1h,all_ce_log_num_1h,read_ce_count_1h,scrub_ce_count_1h,all_ce_count_1h,log_happen_frequency_1h,ce_storm_count_1h,fault_mode_others_1h,fault_mode_device_1h,fault_mode_bank_1h,fault_mode_row_1h,fault_mode_column_1h,fault_mode_cell_1h,fault_row_num_1h,fault_column_num_1h,error_bit_count_1h,error_dq_count_1h,error_burst_count_1h,max_dq_interval_1h,max_burst_interval_1h,dq_count=1_1h,dq_count=2_1h,dq_count=3_1h,dq_count=4_1h,burst_count=1_1h,burst_count=2_1h,burst_count=3_1h,burst_count=4_1h,burst_count=5_1h,burst_count=6_1h,burst_count=7_1h,burst_count=8_1h,label
1704131944,59,0,59,64,0,64,15.254237288135593,2,0,0,0,0,1,0,0,1,485,235,335,3,7,0,0,1,58,0,0,0,0,23,32,4,0,81,0,81,86,0,86,44.44444444444444,3,0,0,0,0,1,0,0,1,663,322,458,3,7,0,0,2,79,0,0,0,0,34,41,6,0,1
1704135541,4,0,4,4,0,4,225.0,0,0,0,0,0,1,0,0,1,36,16,25,3,7,0,0,0,4,0,0,0,0,1,2,0,1,93,0,93,93,0,93,38.70967741935484,1,0,0,0,0,1,0,0,1,738,369,521,3,7,0,0,3,90,0,0,0,4,38,43,7,1,1
1704139152,6,0,6,6,0,6,150.0,0,0,0,0,0,1,0,0,1,48,23,34,3,7,0,0,1,5,0,0,0,0,2,4,0,0,27,0,27,27,0,27,133.33333333333334,0,0,0,0,0,1,0,0,1,213,106,154,3,7,0,0,2,25,0,0,0,1,9,14,3,0,1
1704139985,8,0,8,8,0,8,112.5,0,0,0,0,0,1,0,0,1,58,30,43,3,7,0,0,2,6,0,0,0,0,5,3,0,0,25,0,25,25,0,25,144.0,0,0,0,0,0,1,0,0,1,193,97,140,3,7,0,0,3,22,0,0,0,0,12,11,2,0,1
1704153413,0,8,8,0,8,8,112.5,0,0,0,1,0,0,0,2,3,31,25,15,3,4,1,2,0,5,1,7,0,0,0,0,0,0,4,8,12,6,8,14,300.0,0,0,0,1,0,0,0,4,3,39,31,20,3,4,4,2,1,5,4,8,0,0,0,0,0,0,1
1704156486,1,0,1,2,0,2,900.0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,8,9,2,8,10,400.0,0,0,0,1,0,0,0,2,3,32,26,16,3,4,2,2,0,5,2,7,0,0,0,0,0,0,1
1704049059,1,0,1,3,0,3,900.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,3,3600.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1704052333,1,0,1,3,0,3,900.0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,2,6,0,6,1800.0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
1704054069,0,7,7,0,14,14,128.57142857142858,0,0,0,0,1,0,0,2,0,12,11,12,1,4,3,4,0,0,2,5,0,0,0,0,0,0,1,7,8,3,14,17,450.0,0,0,0,0,1,0,0,2,0,13,12,13,1,4,4,4,0,0,3,5,0,0,0,0,0,0,1
1704119156,0,1,1,0,1,1,900.0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,3600.0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
